original_index,image,problem,solution,schema,netlist
1247,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F1915E98250>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the balanced 3-phase, 50 Hz, circuit shown below, the value of inductance (L) is 10 mH. The value of the capacitance (C) for which all the line currents are zero, in millifarads, is ______.

**Choices:**  
A. 1.32  
B. 2.12  
C. 3.03  
D. 4.08",C,"L1 L N1 N2 L
L2 L N1 N3 L
L3 L N2 N3 L
C1 C N1 N4 C
C2 C N2 N4 C
C3 C N3 N4 C","* circuit generated from schema
V1 N1 0 DC 1
L1 N1 N2 1mH
L2 N1 N3 1mH
L3 N2 N3 1mH
C1 N1 N4 1uF
C2 N2 N4 1uF
C3 N3 N4 1uF
.end"
1248,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F1915E98490>,"Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.
Question: In the circuit shown, a 5 V Zener diode is used to regulate the voltage across load \( R_0 \). The input is an unregulated DC voltage with a minimum value of 6 V and a maximum value of 8 V. The value of \( R_S \) is 6 \(\Omega\). The Zener diode has a maximum rated power dissipation of 2.5 W. Assuming the Zener diode to be ideal, the minimum value of \( R_0 \) is __________ \(\Omega\).",30,"Vi V Ni N0 NA
Rs R Ni Nz NA
D1 D N0 Nz NA; zener diode
Ro R Nz N0 NA
Labels:
Vz V N0 Nz","* circuit generated from schema
V1 Ni 0 DC 12
RS Ni Nz 1k
D1 0 Nz DZENER
RO Nz 0 10k
.model DZENER D(Is=1e-14 N=1 BV=5.6 IBV=1m Rs=10 Cjo=50p M=0.33)
.end"
1249,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F1915E98550>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in figure, when the circuit is stable, increasing the resistance of the variable resistor \( R \), the correct statement is (    )
Choices 
A. The voltage across the capacitor increases.  
B. The voltage across the capacitor remains unchanged.  
C. The voltage across the capacitor decreases.  
D. The capacitor charges.
",B,"C C N1 N3 NA
R RHEOSTAT N1 N2 NA
E V N2 N3 NA","* circuit generated from schema
C1 N1 0 1uF
RHEOSTAT N1 N2 1k
V1 N2 0 DC 1
.end"
1250,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F1915E985B0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the CMOS circuit shown in <image>, electron and hole mobilities are equal, and \( M_1 \) and \( M_2 \) are equally sized. The device \( M_1 \) is in the linear region if

Choices  
A. \( V_{in} < 1.875 \, \text{V} \)  
B. \( 1.875 \, \text{V} < V_{in} < 3.125 \, \text{V} \)  
C. \( V_{in} > 3.125 \, \text{V} \)  
D. \( 0 < V_{in} < 5 \, \text{V} \)
",A,"VDD V NS1 0 5V
M1 PMOS NS1 NG ND
M2 NMOS ND NG NS2; NS2(M2 source) grounded
Labels:
Vin V NG 0
|V_Tp|=1V V
V_Tn=1V V","* circuit generated from schema
VDD NS1 0 DC 5
VIN NG 0 DC 0
M1 ND NG NS1 NS1 PMOS L=1u W=10u
M2 ND NG 0 0 NMOS L=1u W=10u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=100u LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=-1 KP=50u LAMBDA=0.02)
.end"
1251,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F1915E986D0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: A buck converter feeding a variable resistive load is shown in the figure. The switching frequency of the switch \( S \) is 100 kHz, and the duty ratio is 0.6. The output voltage \( V_o \) is 36 V. Assume that all the components are ideal and that the output voltage is ripple-free. The value of \( R \) (in Ohm) that will make the inductor current \( i_L \) just continuous is ______.

Choices
A. 1240  
B. 2500  
C. 3695  
D. 1478
",B,"V1 V N1 N0 60V
S1 SW N1 N2 NA
D1 D N0 N2 NA
L1 L N2 N3 5mH
V2 V N3 N0 36V
R1 RHEOSTAT N3 N0 NA
Labels:
Vo V N3 N0
iL I N2 N3","* circuit generated from schema
V1 N1 0 DC 60
V2 N3 0 DC 36
S1 N1 N2 NC 0 SW
VSW NC 0 DC 1
D1 0 N2 DCLAMP
L1 N2 N3 5mH
R1 N3 0 10
.model DCLAMP D(Is=1e-14 N=1 Rs=0.1 Cjo=1p M=0.5 tt=2n)
.model SW SW(Ron=1m Roff=1Meg Vt=0.5 Vh=0.1)
.end"
1253,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F1915E987F0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in the <image>, the bipolar junction transistor (BJT) has a current gain \( \beta = 100 \). The base-emitter voltage drop is a constant, \( V_{BE} = 0.7 \, \text{V} \). The value of the Thevenin equivalent resistance \( R_{\text{Th}} \) (in \( \Omega \)) as shown in the figure is _____ (up to 2 decimal places).

Choices:
A. 70.45  
B. 85.25  
C. 90.09  
D. 105.65
",C,"Q1 NPN NC NB a NA; NC collector, NB base, a emitter
V1 V N2 b 15V
R1 R N2 NC 10Ω
R2 R NB N1 10kΩ
V2 V N1 b 10.7V
R3 R a b 1kΩ
Labels:
RTh R a b","* circuit generated from schema
Q1 NC NB a NPNMOD
V1 N2 0 DC 15
R1 N2 NC 10
R2 NB N1 10k
V2 N1 0 DC 10.7
R3 a 0 1k
.model NPNMOD NPN BF=50 VAF=50 IS=1e-12 RB=100 CJC=0.5p TF=0.6n
.end"
1254,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F1915E988B0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.  
Question: In the figure shown, the current \( i \) (in ampere) is ______  
**Choices:**  
A. 0  
B. -1  
C. -2  
D. -4",B,"I1 I N4 N1 1A
R1 R N4 N2 5Ω
R2 R N2 N3 1Ω
R3 R N1 N3 1Ω
R4 R N3 N1 1Ω
V1 V N2 N1 8V
V2 V N3 N5 8V
R5 R N5 N1 1Ω
Labels:
i I N2 N1","* circuit generated from schema
I1 N4 0 DC 1
R1 N4 N2 5
R2 N2 N3 1
R3 0 N3 1
R4 N3 0 1
V1 N2 0 DC 8
V2 N3 N5 DC 8
R5 N5 0 1
.end"
1255,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F1915E98C10>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.  
Question: In the circuit shown, what value of \( R_L \) maximizes the power delivered to \( R_L \)?  
**Choices:**  
A. \( 2.4 \, \Omega \)  
B. \( \frac{8}{3} \, \Omega \)  
C. \( 4 \, \Omega \)  
D. \( 6 \, \Omega \)",C,"Vi V N1 N0 100V
R1 R N1 N2 4Ω
R2 R N2 N3 4Ω
R3 R N3 N4 4Ω
RL R N3 N0 NA
V1 V N4 N1 Vx; dependent voltage source
Labels:
Vx V N2 N1","* circuit generated from schema
Vi N1 0 DC 100
R1 N1 N2 4
R2 N2 N3 4
R3 N3 N4 4
RL N3 0 1k
E1 N4 N1 N2 N1 1
.end"
1256,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F1915E98D30>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: The circuit below is excited by a sinusoidal source. The value of R, in \( \Omega \), for which the admittance of the circuit becomes a pure conductance at all frequencies is __________.

**Choices:**  
A. 14.14  
B. 8.62  
C. 22.46  
D. 12.18",A,"V1 V N1 N2 NA
C1 C N1 N3 100μF
R1 R N3 N2 R
L1 L N1 N4 0.02H
R2 R N4 N2 R","* circuit generated from schema
V1 N1 0 DC 1
C1 N1 N3 100u
R1 N3 0 100
L1 N1 N4 20m
R2 N4 0 100
.end"
1257,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F1915E98E50>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in the figure, the three lamps have the same specifications. If \( SB1 \) is open and \( SB2 \) and \( SB3 \) are closed, the situation will be ( ).
Choices
A. Lamp \( HL1 \) is brighter than lamps \( HL2 \) and \( HL3 \)
B. Lamp \( HL1 \) is off, and lamp \( HL2 \) is brighter than lamp \( HL3 \)
C. Lamp \( HL3 \) is brighter than lamps \( HL1 \) and \( HL2 \)
D. Lamp \( HL1 \) is off, and lamps \( HL2 \) and \( HL3 \) have the same brightness
",D,"SB1 SW U N1 NA
HL1 LAMP N1 N NA
SB2 SW W N2 NA
HL2 LAMP N N2 NA
SB3 S V N3 NA
HL3 LAMP N N3 NA","* circuit generated from schema
VU U 0 DC 1
VW W 0 DC 1
VV V 0 DC 1
.model SWMOD SW ron=1m roff=1e6 von=0.6 voff=0.4
SSB1 U N1 U 0 SWMOD
SSB2 W N2 W 0 SWMOD
SSB3 V N3 V 0 SWMOD
RHL1 N1 0 100
RHL2 N2 0 100
RHL3 N3 0 100
.end"
1258,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F1915E98EB0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: A small signal source \( v_i(t) = A\cos20t + B\sin10^6t \) is applied to a transistor amplifier as shown in <image>. The transistor has \( \beta = 150 \) and \( h_{ie} = 3W \). Which expression best approximates \( v_0(t) \)?

Choices:
A. \( v_0(t) = -1500(A\cos20t + B\sin10^6t) \)  
B. \( v_0(t) = -150(A\cos20t + B\sin10^6t) \)  
C. \( v_0(t) = -1500B\sin10^6t \)  
D. \( v_0(t) = -150B\sin10^6t \)
",D,"Q1 NPN NC NB NE NA; NC collector, NB base, NE emitter
R1 R Nv NB 100kΩ
R2 R NB 0 20kΩ
C1 C Ni NB 100nF
R3 R Nv NC 3kΩ
C2 C NC No 100nF
R4 R NE 0 900Ω
C3 C NE 0 10μF
Labels:
vi(t) V Ni 0
vo(t) V No 0
12V V Nv 0","* circuit generated from schema
V1 Nv 0 DC 12
V2 Ni 0 DC 0
R1 Nv NB 100k
R2 NB 0 20k
C1 Ni NB 100n
R3 Nv NC 3k
C2 NC No 100n
R4 NE 0 900
C3 NE 0 10u
R5 No 0 1Meg
Q1 NC NB NE 0 MODNPN
.model MODNPN NPN BF=100 VAF=100 IS=1e-14 RB=100 CJE=20p CJC=20p TF=0.5n
.end"
1259,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F1915E98F10>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the figure, three light bulbs are all emitting normally. When the power supply voltage remains unchanged and the frequency decreases, what will be the change in brightness of the lights?
Choices 
A. HL1 unchanged, HL2 dimmer, HL3 dimmer  
B. HL1 dimmer, HL2 brighter, HL3 dimmer  
C. HL1, HL2, HL3 all unchanged  
D. HL1 unchanged, HL2 brighter, HL3 dimmer
",D,"HL1 Lamp N1 N3 NA
R R N3 N2 R
HL2 Lamp N1 N4 NA
XL L N4 N2 XL
HL3 Lamp N1 N5 NA
XC C N5 N2 XC
Labels:
U V N1 N2","* circuit generated from schema
V1 N1 0 DC 1
RHL1 N1 N3 100
R1 N3 0 1k
RHL2 N1 N4 100
L1 N4 0 10m
RHL3 N1 N5 100
C1 N5 0 1u
.end"
1260,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F1915E98FD0>,"Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.
Question: For the circuit shown, assume that the NMOS transistor is in saturation. Its threshold voltage \( V_{tn} = 1V \) and its transconductance parameter \( \mu_nC_{OX}\left(\frac{W}{L}\right) = 1mA/V^2 \). Neglect channel length modulation and body bias effects. Under these conditions, the drain current \( I_D \) in mA is _______.",2,"M1 NMOS ND NG NS NA; ND drain, NG gate, NS source
VDD V Nv 0 8V
R1 R Nv NG 3MΩ
R2 R NG 0 5MΩ
RD R Nv ND 1kΩ
RS R NS 0 1kΩ
Labels:
ID I Nv ND","* circuit generated from schema
VDD Nv 0 DC 8
R1 Nv NG 3MEG
R2 NG 0 5MEG
RD Nv ND 1K
RS NS 0 1K
M1 ND NG NS NS NMOS L=1u W=10u
.model NMOS NMOS (LEVEL=1 VTO=1 KP=1e-3 GAMMA=0 PHI=0.6 LAMBDA=0.02)
.end"
1261,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F1915E99090>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in figure, \( u \) is a sinusoidal AC voltage with an angular frequency \( \omega \). The impedance \( |Z| \) of this circuit is ( )
Choices
A. \( \sqrt{(R_1 + R_2)^2 + \left(\omega L - f_x000C_rac{1}{\omega C}\right)^2} \)
B. \( \sqrt{(R_1 + R_2)^2 + \left(\omega L + frac{1}{\omega C}\right)^2} \)
C. \( (R_1 + R_2) + \omega L - \frac{1}{\omega C} \)
D. \( R_1 + R_2 + \omega L + \frac{1}{\omega C} \)
",A,"R1 R N1 N2 NA
L L N2 N3 L
R2 R N3 N4 NA
C C N4 N5 C
Labels:
u V N1 N5","* circuit generated from schema
V1 N1 0 DC 1
R1 N1 N2 1k
L1 N2 N3 10m
R2 N3 N4 1k
C1 N4 0 1u
.end"
1262,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F1915E99210>,"Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.
Question: In the circuit shown in figure, the final equivalent voltage source is ________V.
",1,"Is1 I N2 N1 3A; independent current source
Is2 I N2 N3 5A; independent current source
R1 R N1 N2 3Ω
R2 R N2 N3 2Ω","* circuit generated from schema
Is1 N2 N1 DC 3
Is2 N2 N3 DC 5
R1 N1 N2 3
R2 N2 N3 2
V1 N3 0 DC 1
.end"
1263,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F1915E99270>,"Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.
Question:  In the circuit shown in the figure, given \( U = 100 	ext{ V} \), \( R_1 = 600 \Omega \), \( R_2 = 400 \Omega \), and \( C = 0.5 \mu F \), what is the voltage across the capacitor? The voltage across the capacitor is \( __ 	ext{V} \).
",40,"R1 R N1 N2 NA
R2 R N2 N0 NA
C C N2 N0 C
Labels:
U V N1 N0","* circuit generated from schema
V1 N1 0 DC 1
R1 N1 N2 1k
R2 N2 0 1k
C N2 0 1u
.end"
1265,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F1915E994B0>,"Hint: Please answer the question requiring an integer and the final value, e.g., 1, 2, 3, at the end.  
Question: Calculate the operating frequency of the following oscillator circuit, if \(C_1 = 0.027 \, \mu F\) and \(L_1 = 105 \, mH\), as shown in the figure. The operating frequency is ______kHz.",3.0,"Q1 PNP NC NB NE NA; NC collector, NB base, NE emitter
C1 C NC N1 NA
L1 L NC N1 NA
C2 C N1 NB NA
R1 R Nv NB NA
R2 R NB 0 NA
RC R Nv NC NA
RE R NE 0 NA
CE C 0 NE NA
Labels:
-V V Nv 0","* circuit generated from schema
V1 Nv 0 DC -12
Q1 NC NB NE QPNP
C1 NC N1 1n
L1 NC N1 10uH
C2 N1 NB 10n
R1 Nv NB 220k
R2 NB 0 47k
RC Nv NC 4.7k
RE NE 0 1k
CE 0 NE 10u
.model QPNP PNP BF=100 VAF=100 IS=1e-14 RB=100 RC=20 RE=1 CJE=20p CJC=8p TF=600p TR=100n
.end"
1266,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F1915E99570>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the AC equivalent circuit shown in <image>, the two BJTs are biased in the active region and have identical parameters with \(\beta \gg 1\). The open-circuit small-signal voltage gain is approximately

Choices  
A. 0  
B. \(-1\)  
C. 1  
D. \(-2\)
",B,"M1 PMOS 0 NG1 ND; M1 source grounded, NG1=ND(shorted)
M2 NMOS ND NG2 0; M2 source grounded 
Labels:
Vin V NG2 0
Vout V ND 0","* circuit generated from schema
V1 NG2 0 DC 1
M1 ND ND 0 0 PMOD L=1u W=10u
M2 ND NG2 0 0 NMOD L=1u W=10u
.model NMOD NMOS (LEVEL=1 VTO=0.7 KP=50e-6 LAMBDA=0.02)
.model PMOD PMOS (LEVEL=1 VTO=-0.7 KP=25e-6 LAMBDA=0.02)
.end"
1267,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F1915E995D0>,"Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.
Question: In the circuit shown in figure, given \( I_s = 5A \), \( U_s = 120V \), \( R_1 = R_3 = 3\Omega \), \( R_2 = 12\Omega \). Calculate the current \( I \) using the superposition principle. I=()A",4,"Us V N1 N0 NA
R1 R N1 N2 NA
R2 R N2 N0 NA
R3 R N2 N3 NA
Is I N0 N3 NA; current source
Labels:
I I N1 N2; current through R1","* circuit generated from schema
VUS N1 0 DC 1
R1 N1 N2 1k
R2 N2 0 1k
R3 N2 N3 1k
IIS 0 N3 DC 1m
.end"
1269,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F1915E99930>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in figure, the operating states of the diodes are
Choices 
A. \( \mathrm{VD}_1 \) is conducting, \( \mathrm{VD}_2 \) is not conducting  
B. \( \mathrm{VD}_1 \) is not conducting, \( \mathrm{VD}_2 \) is conducting  
C. Both \( \mathrm{VD}_1 \) and \( \mathrm{VD}_2 \) are conducting  
D. Both \( \mathrm{VD}_1 \) and \( \mathrm{VD}_2 \) are not conducting
",A,"VD1 D N1 N3 NA
E1 V N2 N3 9V
R R N1 N4 R
E2 V N4 N2 2V
VD2 D N1 N2 NA","* circuit generated from schema

.model NA D(Is=1e-14 N=1)

V1 N2 0 DC 9
V2 N4 N2 DC 2
R1 N1 N4 1k
D1 N1 0 NA
D2 N1 N2 NA

.end"
1270,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F1915E99B10>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit as shown in figure, the values of the current \( I \) and voltage \( U \) are respectively ( )
Choices
A. \( U = -4V \), \( I = -400mA \)
B. \( U = -2V \), \( I = -200mA \)
C. \( U = 2V \), \( I = 200mA \)
D. \( U = 4V \), \( I = 400mA \)
",A,"V1 V N3 N1 3V
V2 V N1 N2 1V
R1 R N2 N3 10Ω
Labels:
U V N2 N3; voltage across R1
I I N2 N3","* circuit generated from schema
V1 N1 0 DC 3
V2 N1 N2 DC 1
R1 N2 0 10
.end"
1271,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F1915E99CF0>,"Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.
Question: The common emitter amplifier shown in <image> is biased using a 1 mA ideal current source. The approximate base current value is:  ( ) \mu A

",10,"Q1 NPN NC NB NE NA; β=100 
RC R Nvcc NC 1kΩ
Vin V NB 0 NA
I1 I NE 0 1mA;  independent current source
Labels:
VCC=5V V Nvcc 0
Vout V NC 0","* circuit generated from schema
V1 Nvcc 0 DC 5
RC Nvcc NC 1k
Vin NB 0 DC 0
I1 NE 0 1mA
Q1 NC NB NE QMOD
.model QMOD NPN BF=100
.end"
1272,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F1915E99E10>,"Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.
Question: In the circuit shown in figure, the equivalent resistance \( R_{ab} \) between terminals \( a \) and \( b \) is ________ \( \Omega \).
",1.5,"R1 R b a 3Ω
R2 R b N1 1Ω
R3 R N1 a 4Ω
R4 R N1 N2 2Ω
R5 R N2 a 4Ω
R6 R N2 a 4Ω
Labels:
R_ab R b a","* circuit generated from schema
V1 b 0 DC 1
R1 b 0 3
R2 b N1 1
R3 N1 0 4
R4 N1 N2 2
R5 N2 0 4
R6 N2 0 4
.end"
1273,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F1915E99E70>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the DC circuit shown in figure \( U_{ab} \) is ( ).
Choices
A. -2V  
B. -1V  
C. 1V  
D. 2V
",C,"I1 I a b 2A; independent current source
V1 V a N0 2V
R1 R b N0 1Ω
R2 R b N0 1Ω","* circuit generated from schema
I1 a b DC 2
V1 a 0 DC 2
R1 b 0 1
R2 b 0 1
.end"
1274,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F1915E99F30>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.  
Question: Assuming both the voltage sources are in phase, the value of \( R \) for which maximum power is transferred from circuit A to circuit B is  
**Choices:**  
A. \(0.8 \, \Omega\)  
B. \(1.4 \, \Omega\)  
C. \(2 \, \Omega\)  
D. \(2.8 \, \Omega\)",A,"V1 V N1 N0 10V
R1 R N1 N2 2Ω
R2 R N2 N3 R
C1 C N3 N0 -j1Ω
V2 V N3 N0 3V
Labels:
Circuit_A TEXT N2 N0; includes V1 and R1
Circuit_B TEXT N3 N0; includes R2, C1 and V2","* circuit generated from schema
V1 N1 0 DC 10
R1 N1 N2 2
R2 N2 N3 1k
C1 N3 0 1
V2 N3 0 DC 3
.end"
1275,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F1915E99FF0>,"Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.
Question: As shown in the figure circuit, using the method of equivalent transformation of voltage source and current source, the part except the 22Ω resistor is equivalent to a voltage source and a resistor in series. The current I is ( )A.
",2,"V1 V N1 N3 12V
R1 R N1 N2 6Ω
R2 R N2 N3 2Ω
V2 V N2 N4 6V
R3 R N4 N3 3Ω
Labels:
I I N2 N3; current through R2","* circuit generated from schema
V1 N1 0 DC 12
R1 N1 N2 6
R2 N2 0 2
V2 N2 N4 DC 6
R3 N4 0 3
.end"
1276,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F1915E9A350>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in figure, after inputting the sinusoidal voltage \( u_i \), saturation distortion occurs. To eliminate this distortion, the measure to be taken is ( ).
Choices
A. Increase \( R_L \)
B. Increase \( R_C \)
C. Increase \( R_B \)
D. Decrease \( R_B \)
",C,"Q1 NPN NC NB NE NA; NC collector, NB base, NE(emitter) at GND(0)
RB R Nucc NB NA
RC R Nucc NC NA
C1 C Ni NB NA
C2 C NC No NA
RL R No NE NA
Labels:
ui V Ni 0
uo V No 0
+Ucc V Nucc 0","* circuit generated from schema
VUI Ni 0 DC 0
VUCC Nucc 0 DC 12
RB Nucc NB 1MEG
RC Nucc NC 4.7K
C1 Ni NB 1U
C2 NC No 1U
RL No 0 10K
Q1 NC NB 0 MODNPN
.model MODNPN NPN BF=100 VAF=100 IS=1E-12 RB=100 CJE=20P CJC=8P TF=600P TR=100N
.end"
1277,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F1915E9A3B0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.  
Question: In the circuit shown below, if the source voltage \(V_s = 100\angle 53.13^\circ \text{V}\) then the Thevenin's equivalent voltage in Volts as seen by the load resistance \(R_L\) is  
**Choices:**  
A. \(100\angle 90^\circ\)  
B. \(800\angle 0^\circ\)  
C. \(800\angle 90^\circ\)  
D. \(100\angle 60^\circ\)",C,"Vs V N1 N0 NA
R1 R N1 N2 3Ω
L1 L N2 N3 j4Ω
E1 V N3 N0 j40*I_2; current dependent voltage source
E2 V N4 N0 10*V_L1; voltage dependent voltage source
L2 L N4 N5 j6Ω
R2 R N5 N6 5Ω
RL R N6 N0 10Ω
Labels:
I_1 I N1 N3; loop current
I_2 I N4 N6; loop current
v_L1 V N2 N3; voltage across L1","* circuit generated from schema
V1 N1 0 DC 1
R1 N1 N2 3
L1 N2 N3 4H
H1 N3 0 VCS2 40
E2 NX 0 N2 N3 10
VCS2 N4 NX DC 0
L2 N4 N5 6H
R2 N5 N6 5
RL N6 0 10
.end"
1278,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F1915E9A410>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the silicon Zener diode circuit shown in figure, given that the Zener breakdown voltage is 6V and the circuit output voltage is also 6V, the value of the current-limiting resistor \( R \) is:
Choices:
A. 1kΩ
B. 4kΩ
C. 6kΩ
D. 10kΩ
",A,"V V N1 N0 15V
R R N1 N2 R
Dz D N0 N2 NA; zener diode
R1 R N2 N0 1kΩ
Labels:
Uo V N2 N0","* circuit generated from schema
V1 N1 0 DC 15
RS N1 N2 1k
D1 0 N2 DZENER
R1 N2 0 1k
.model DZENER D (is=1e-14 n=1 bv=5.6 ibv=1e-3)
.end"
1279,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F1915E9A590>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Thyristor \( T_1 \) is triggered at an angle \( \alpha \) (in degree), and \( T_2 \) at an angle \( 180^\circ + \alpha \), in each cycle of the sinusoidal input voltage. Assume both thyristors to be ideal. To control the load power over the range 0 to 2 kW, the minimum range of variation in \( \alpha \) is:

Choices  
A. \( 0^\circ \) to \( 60^\circ \)  
B. \( 0^\circ \) to \( 120^\circ \)  
C. \( 60^\circ \) to \( 120^\circ \)  
D. \( 60^\circ \) to \( 180^\circ \)
",B,"V1 V N1 N3 200V,50Hz
T1 SCR N1 N2 NA
T2 SCR N2 N1 NA
Z1 Z N2 N3 (10∠-60deg)Ω","* circuit generated from schema
V1 N1 0 SIN(0 200 50)
D1 N1 N2 D_SCR
D2 N2 N1 D_SCR
RZ N2 N4 5
CZ N4 0 368u
.model D_SCR D(IS=1e-14 N=1 RS=0.1 TT=1e-6 CJO=1e-12 M=0.5)
.end"
1280,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=384x384 at 0x7F1915E9A5F0>,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: In the circuit shown in <image>, the op-amp is ideal, the transistor has \( V_{BE} = 0.6 \) V and \( \beta = 150 \). Decide whether the feedback in the circuit is positive or negative and determine the voltage \( V \) at the output of the op-amp.

Choices:
A. Positive feedback, \( V = 10 \) V.  
B. Positive feedback, \( V = 0 \) V.  
C. Negative feedback, \( V = 5 \) V  
D. Negative feedback, \( V = 2 \) V
",D,"Q1 NPN NC NB NE
A1 AMP Nn Np No; Np & NC shorted, No=NB(A1 output into Q1 base)
V1 V Nv 0 10V
R1 R Nv NC 5kΩ
R2 R NE 0 1.4kΩ
V2 V Nn 0 5V
Labels:
V V No 0; No=NB(same node)","* circuit generated from schema
V1 Nv 0 DC 10
R1 Nv NC 5k
R2 NE 0 1.4k
V2 Nn 0 DC 5
E1 NB 0 NC Nn 1e6
Q1 NC NB NE QMOD
.model QMOD NPN BF=100 VAF=100 IS=1e-14 RB=100 CJE=5p CJC=3p TF=0.5n
.end"
