index,schema,problem,solution,netlist
726,"*SPICE Netlist for circuit 726
C1 0 4 1nF
C2 2 VDD 1nF
C3 10 4 1nF
M5 10 7 2 2 PMOS W=1u L=1u
I1 7 0 DC 1mA
M1 4 1 0 0 NMOS W=1u L=1u
M4 4 2 VDD VDD PMOS W=1u L=1u
M3 7 7 6 6 PMOS W=1u L=1u
M2 6 6 VDD VDD PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(10) V(2) V(4) V(6) V(7) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 6?
A. -4.748 V
B. -655.1 mV
C. -981.8 mV
D. 0 V",A,"*SPICE Netlist for circuit 726
C1 0 4 1nF
C2 2 VDD 1nF
C3 10 4 1nF
M5 10 7 2 2 PMOS W=1u L=1u
I1 7 0 DC 1mA
M1 4 1 0 0 NMOS W=1u L=1u
M4 4 2 VDD VDD PMOS W=1u L=1u
M3 7 7 6 6 PMOS W=1u L=1u
M2 6 6 VDD VDD PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(10) V(2) V(4) V(6) V(7) V(VDD)
.END"
726,"*SPICE Netlist for circuit 726
C1 0 4 1nF
C2 2 VDD 1nF
C3 10 4 1nF
M5 10 7 2 2 PMOS W=1u L=1u
I1 7 0 DC 1mA
M1 4 1 0 0 NMOS W=1u L=1u
M4 4 2 VDD VDD PMOS W=1u L=1u
M3 7 7 6 6 PMOS W=1u L=1u
M2 6 6 VDD VDD PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(10) V(2) V(4) V(6) V(7) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 7?
A. -981.8 mV
B. -8.188 V
C. 0 V
D. -655.1 mV",B,"*SPICE Netlist for circuit 726
C1 0 4 1nF
C2 2 VDD 1nF
C3 10 4 1nF
M5 10 7 2 2 PMOS W=1u L=1u
I1 7 0 DC 1mA
M1 4 1 0 0 NMOS W=1u L=1u
M4 4 2 VDD VDD PMOS W=1u L=1u
M3 7 7 6 6 PMOS W=1u L=1u
M2 6 6 VDD VDD PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(10) V(2) V(4) V(6) V(7) V(VDD)
.END"
729,"*SPICE Netlist for circuit 729
C1 2 1 1nF
I1 6 0 DC 1mA
M1 1 4 6 6 NMOS W=1u L=1u
I2 5 0 DC 1mA
M2 2 1 VDD VDD PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(4) V(5) V(6) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 5?
A. -1 mV
B. 0 V
C. -2 mV
D. -500 µV",A,"*SPICE Netlist for circuit 729
C1 2 1 1nF
I1 6 0 DC 1mA
M1 1 4 6 6 NMOS W=1u L=1u
I2 5 0 DC 1mA
M2 2 1 VDD VDD PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(4) V(5) V(6) V(VDD)
.END"
208,"M1 NMOS X N1 N2 N2 NA
M2 NMOS Y N3 N4 N4 NA
RD1 R VDD X NA
RD2 R VDD Y NA
RS1 R N2 N5 NA
RS2 R N4 N5 NA
V1 V N1 0 NA
V2 V N3 0 NA
I1 I N5 0 NA","In the given SPICE netlist, the DC operating-point analysis reports unrealistic node voltages (e.g., V(1) extremely high) and zero current through source V1. What is the most likely reason for this behavior?
A. The NMOS model parameters (VTO, KP, LAMBDA) are physically impossible, causing the simulator to fail
B. The circuit suffers from convergence issues or invalid biasing, such as floating nodes or improper connections
C. The DC sources V1 and V2 must be replaced with AC sources for the operating-point analysis to work correctly
D. The resistor values are too small, causing numerical overflow in the simulator",B,"Differential Pair with Source Degeneration and Loads
M1 X N1 N2 N2 NMOS
M2 Y N3 N4 N4 NMOS
RD1 VDD X 1k
RD2 VDD Y 1k
RS1 N2 N5 1k
RS2 N4 N5 1k
V1 N1 0 DC 5
V2 N3 0 DC 5
I1 N5 0 DC 1mA
VDD VDD 0 DC 5
.model NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.model PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.op
.end"
732,"*SPICE Netlist for circuit 732
C1 0 2 1nF
C2 3 2 1nF
I1 VDD 3 DC 1mA
I2 VDD 2 DC 1mA
M1 2 3 0 0 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(2) V(3) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 2?
A. 2.115 V
B. 4.23 V
C. 12.11 V
D. -300 mV",A,"*SPICE Netlist for circuit 732
C1 0 2 1nF
C2 3 2 1nF
I1 VDD 3 DC 1mA
I2 VDD 2 DC 1mA
M1 2 3 0 0 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(2) V(3) V(VDD)
.END"
733,"*SPICE Netlist for circuit 733
C1 0 2 1nF
C2 3 2 1nF
I1 VDD 2 DC 1mA
I2 3 0 DC 1mA
M1 2 3 0 0 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(2) V(3) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 3?
A. -20 V
B. -132 mV
C. -10 V
D. 0 V",C,"*SPICE Netlist for circuit 733
C1 0 2 1nF
C2 3 2 1nF
I1 VDD 2 DC 1mA
I2 3 0 DC 1mA
M1 2 3 0 0 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(2) V(3) V(VDD)
.END"
734,"*SPICE Netlist for circuit 734
C1 0 1 1nF
C2 4 1 1nF
I2 4 0 DC 1mA
I1 VDD 1 DC 1mA

.OP
.PRINT OP V(1) V(4) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 4?
A. -10 V
B. -20 V
C. 0 V
D. -132 mV",A,"*SPICE Netlist for circuit 734
C1 0 1 1nF
C2 4 1 1nF
I2 4 0 DC 1mA
I1 VDD 1 DC 1mA

.OP
.PRINT OP V(1) V(4) V(VDD)
.END"
735,"*SPICE Netlist for circuit 735
C1 0 3 1nF
C2 5 3 1nF
I1 4 0 DC 1mA
I2 5 0 DC 1mA
M3 3 4 VDD VDD PMOS W=1u L=1u
M1 3 5 0 0 NMOS W=1u L=1u
M2 4 4 VDD VDD PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(3) V(4) V(5) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 3?
A. -10.67 V
B. -4.758 V
C. -1.319 V
D. -673 mV",D,"*SPICE Netlist for circuit 735
C1 0 3 1nF
C2 5 3 1nF
I1 4 0 DC 1mA
I2 5 0 DC 1mA
M3 3 4 VDD VDD PMOS W=1u L=1u
M1 3 5 0 0 NMOS W=1u L=1u
M2 4 4 VDD VDD PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(3) V(4) V(5) V(VDD)
.END"
735,"*SPICE Netlist for circuit 735
C1 0 3 1nF
C2 5 3 1nF
I1 4 0 DC 1mA
I2 5 0 DC 1mA
M3 3 4 VDD VDD PMOS W=1u L=1u
M1 3 5 0 0 NMOS W=1u L=1u
M2 4 4 VDD VDD PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(3) V(4) V(5) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 4?
A. -10.67 V
B. -673 mV
C. -4.758 V
D. -1.319 V",C,"*SPICE Netlist for circuit 735
C1 0 3 1nF
C2 5 3 1nF
I1 4 0 DC 1mA
I2 5 0 DC 1mA
M3 3 4 VDD VDD PMOS W=1u L=1u
M1 3 5 0 0 NMOS W=1u L=1u
M2 4 4 VDD VDD PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(3) V(4) V(5) V(VDD)
.END"
735,"*SPICE Netlist for circuit 735
C1 0 3 1nF
C2 5 3 1nF
I1 4 0 DC 1mA
I2 5 0 DC 1mA
M3 3 4 VDD VDD PMOS W=1u L=1u
M1 3 5 0 0 NMOS W=1u L=1u
M2 4 4 VDD VDD PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(3) V(4) V(5) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 5?
A. -1.319 V
B. -10.67 V
C. -4.758 V
D. -673 mV",B,"*SPICE Netlist for circuit 735
C1 0 3 1nF
C2 5 3 1nF
I1 4 0 DC 1mA
I2 5 0 DC 1mA
M3 3 4 VDD VDD PMOS W=1u L=1u
M1 3 5 0 0 NMOS W=1u L=1u
M2 4 4 VDD VDD PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(3) V(4) V(5) V(VDD)
.END"
737,"*SPICE Netlist for circuit 737
C1 2 1nF
I1 VDD 4 DC 1mA
I2 VDD 2 DC 1mA
I3 3 0 DC 1mA
M1 6 3 0 0 NMOS W=1u L=1u
M3 3 1 4 4 PMOS W=1u L=1u
M2 3 7 VDD VDD PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(1nF) V(2) V(3) V(4) V(6) V(7) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 2?
A. 1 mV
B. 0 V
C. 2 mV
D. 500 µV",A,"*SPICE Netlist for circuit 737
C1 2 1nF
I1 VDD 4 DC 1mA
I2 VDD 2 DC 1mA
I3 3 0 DC 1mA
M1 6 3 0 0 NMOS W=1u L=1u
M3 3 1 4 4 PMOS W=1u L=1u
M2 3 7 VDD VDD PMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(1nF) V(2) V(3) V(4) V(6) V(7) V(VDD)
.END"
739,"*SPICE Netlist for circuit 739
C1 0 1 1nF
C2 4 1 1nF
I1 0 4 DC 1mA
R2 0 1 1k
R1 3 0 1k
M2 1 3 0 0 PMOS W=1u L=1u
M1 3 0 4 4 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(3) V(4)
.END","In the given SPICE netlist, what is the DC voltage at node 3?
A. 1 V
B. 1.655 V
C. 0 V
D. 2 V",A,"*SPICE Netlist for circuit 739
C1 0 1 1nF
C2 4 1 1nF
I1 0 4 DC 1mA
R2 0 1 1k
R1 3 0 1k
M2 1 3 0 0 PMOS W=1u L=1u
M1 3 0 4 4 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(3) V(4)
.END"
739,"*SPICE Netlist for circuit 739
C1 0 1 1nF
C2 4 1 1nF
I1 0 4 DC 1mA
R2 0 1 1k
R1 3 0 1k
M2 1 3 0 0 PMOS W=1u L=1u
M1 3 0 4 4 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(3) V(4)
.END","In the given SPICE netlist, what is the DC voltage at node 4?
A. 1 V
B. 1.655 V
C. 0 V
D. 3.311 V",B,"*SPICE Netlist for circuit 739
C1 0 1 1nF
C2 4 1 1nF
I1 0 4 DC 1mA
R2 0 1 1k
R1 3 0 1k
M2 1 3 0 0 PMOS W=1u L=1u
M1 3 0 4 4 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(3) V(4)
.END"
800,"M0 NMOS N1 Vin 0 0 NA
RD R VDD N1 NA
I1 I N1 0 NA","In the given SPICE netlist for circuit 800, what are the DC operating point voltages at nodes 1 and 3?
A. V(1) = 0.00 V, V(3) = 5.00 V
B. V(1) = 2.50 V, V(3) = 2.50 V
C. V(1) = 5.00 V, V(3) = 0.00 V
D. V(1) = 1.00 V, V(3) = 1.00 V",C,"MOSFET circuit

* Devices from schema
M0 N1 Vin 0 0 NMOS
RD R VDD N1 1k
I1 I N1 0 DC 1mA

* Default supply (rule 5)
VDD_S VDD 0 DC 5

* Models
.model NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.model PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.op
.end"
741,"*SPICE Netlist for circuit 741
C1 0 2 1nF
C2 0 4 1nF
I1 3 0 DC 1mA
I2 4 0 DC 1mA
M4 2 1 VDD VDD PMOS W=1u L=1u
M2 VDD 2 4 4 NMOS W=1u L=1u
M3 VDD 8 3 3 NMOS W=1u L=1u
M1 2 9 3 3 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(4) V(8) V(9) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 4?
A. 0 V
B. -10.07 V
C. -20.15 V
D. -10.76 V",B,"*SPICE Netlist for circuit 741
C1 0 2 1nF
C2 0 4 1nF
I1 3 0 DC 1mA
I2 4 0 DC 1mA
M4 2 1 VDD VDD PMOS W=1u L=1u
M2 VDD 2 4 4 NMOS W=1u L=1u
M3 VDD 8 3 3 NMOS W=1u L=1u
M1 2 9 3 3 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(4) V(8) V(9) V(VDD)
.END"
741,"*SPICE Netlist for circuit 741
C1 0 2 1nF
C2 0 4 1nF
I1 3 0 DC 1mA
I2 4 0 DC 1mA
M4 2 1 VDD VDD PMOS W=1u L=1u
M2 VDD 2 4 4 NMOS W=1u L=1u
M3 VDD 8 3 3 NMOS W=1u L=1u
M1 2 9 3 3 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(4) V(8) V(9) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 3?
A. -21.52 V
B. -9.927 V
C. -10.76 V
D. 0 V",C,"*SPICE Netlist for circuit 741
C1 0 2 1nF
C2 0 4 1nF
I1 3 0 DC 1mA
I2 4 0 DC 1mA
M4 2 1 VDD VDD PMOS W=1u L=1u
M2 VDD 2 4 4 NMOS W=1u L=1u
M3 VDD 8 3 3 NMOS W=1u L=1u
M1 2 9 3 3 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(4) V(8) V(9) V(VDD)
.END"
741,"*SPICE Netlist for circuit 741
C1 0 2 1nF
C2 0 4 1nF
I1 3 0 DC 1mA
I2 4 0 DC 1mA
M4 2 1 VDD VDD PMOS W=1u L=1u
M2 VDD 2 4 4 NMOS W=1u L=1u
M3 VDD 8 3 3 NMOS W=1u L=1u
M1 2 9 3 3 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(4) V(8) V(9) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 2?
A. -10.76 V
B. -9.927 V
C. -19.85 V
D. 0 V",B,"*SPICE Netlist for circuit 741
C1 0 2 1nF
C2 0 4 1nF
I1 3 0 DC 1mA
I2 4 0 DC 1mA
M4 2 1 VDD VDD PMOS W=1u L=1u
M2 VDD 2 4 4 NMOS W=1u L=1u
M3 VDD 8 3 3 NMOS W=1u L=1u
M1 2 9 3 3 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)
.MODEL PMOS PMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(4) V(8) V(9) V(VDD)
.END"
752,"*SPICE Netlist for circuit 752
I1 VDD 5 DC 1mA
M2 5 2 1 1 NMOS W=1u L=1u
I2 VDD 6 DC 1mA
M1 6 3 1 1 NMOS W=1u L=1u
I3 1 0 DC 1mA
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(5) V(6) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. -2 mV
B. 10 mV
C. 5 mV
D. 0 V",C,"*SPICE Netlist for circuit 752
I1 VDD 5 DC 1mA
M2 5 2 1 1 NMOS W=1u L=1u
I2 VDD 6 DC 1mA
M1 6 3 1 1 NMOS W=1u L=1u
I3 1 0 DC 1mA
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(5) V(6) V(VDD)
.END"
764,"*SPICE Netlist for circuit 764
V1 VDD 0 5V
R4 0 3 1k
R5 0 6 1k
M2 3 1 2 2 NMOS W=1u L=1u
R1 1 VDD 1k
R2 2 3 1k
R3 6 1 1k
M1 1 3 6 6 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(6) V(VDD) I(V1)
.END","In the given SPICE netlist, what is the DC voltage at node 6?
A. 5 V
B. 0 V
C. 3.333 V
D. 1.667 V",D,"*SPICE Netlist for circuit 764
V1 VDD 0 5V
R4 0 3 1k
R5 0 6 1k
M2 3 1 2 2 NMOS W=1u L=1u
R1 1 VDD 1k
R2 2 3 1k
R3 6 1 1k
M1 1 3 6 6 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(6) V(VDD) I(V1)
.END"
764,"*SPICE Netlist for circuit 764
V1 VDD 0 5V
R4 0 3 1k
R5 0 6 1k
M2 3 1 2 2 NMOS W=1u L=1u
R1 1 VDD 1k
R2 2 3 1k
R3 6 1 1k
M1 1 3 6 6 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(6) V(VDD) I(V1)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. 5 V
B. 1.667 V
C. 0 V
D. 3.333 V",D,"*SPICE Netlist for circuit 764
V1 VDD 0 5V
R4 0 3 1k
R5 0 6 1k
M2 3 1 2 2 NMOS W=1u L=1u
R1 1 VDD 1k
R2 2 3 1k
R3 6 1 1k
M1 1 3 6 6 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(6) V(VDD) I(V1)
.END"
764,"*SPICE Netlist for circuit 764
V1 VDD 0 5V
R4 0 3 1k
R5 0 6 1k
M2 3 1 2 2 NMOS W=1u L=1u
R1 1 VDD 1k
R2 2 3 1k
R3 6 1 1k
M1 1 3 6 6 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(6) V(VDD) I(V1)
.END","In the given SPICE netlist, what is the DC current through V1?
A. 3.333 A
B. 1.667 A
C. -1.667 mA
D. 0 A",C,"*SPICE Netlist for circuit 764
V1 VDD 0 5V
R4 0 3 1k
R5 0 6 1k
M2 3 1 2 2 NMOS W=1u L=1u
R1 1 VDD 1k
R2 2 3 1k
R3 6 1 1k
M1 1 3 6 6 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(6) V(VDD) I(V1)
.END"
788,"*SPICE Netlist for circuit 788
I1 1 0 DC 1mA
V1 4 0 5V
R2 4 1 1k
R1 0 1 1k

.OP
.PRINT OP V(1) V(4) I(V1)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. 4 V
B. -3 mV
C. 5 V
D. 2 V",D,"*SPICE Netlist for circuit 788
I1 1 0 DC 1mA
V1 4 0 5V
R2 4 1 1k
R1 0 1 1k

.OP
.PRINT OP V(1) V(4) I(V1)
.END"
788,"*SPICE Netlist for circuit 788
I1 1 0 DC 1mA
V1 4 0 5V
R2 4 1 1k
R1 0 1 1k

.OP
.PRINT OP V(1) V(4) I(V1)
.END","In the given SPICE netlist, what is the DC current through V1?
A. 5 A
B. -6 mA
C. 2 A
D. -3 mA",D,"*SPICE Netlist for circuit 788
I1 1 0 DC 1mA
V1 4 0 5V
R2 4 1 1k
R1 0 1 1k

.OP
.PRINT OP V(1) V(4) I(V1)
.END"
790,"*SPICE Netlist for circuit 790
C1 0 3 1nF
C2 0 2 1nF
C3 3 4 1nF
C4 3 1nF
I1 4 0 DC 1mA
V1 6 0 5V
R1 0 2 1k

.OP
.PRINT OP V(1nF) V(2) V(3) V(4) V(6) I(V1)
.END","In the given SPICE netlist, what is the DC voltage at node 3?
A. 5 V
B. -20 V
C. -10 V
D. 0 V",C,"*SPICE Netlist for circuit 790
C1 0 3 1nF
C2 0 2 1nF
C3 3 4 1nF
C4 3 1nF
I1 4 0 DC 1mA
V1 6 0 5V
R1 0 2 1k

.OP
.PRINT OP V(1nF) V(2) V(3) V(4) V(6) I(V1)
.END"
790,"*SPICE Netlist for circuit 790
C1 0 3 1nF
C2 0 2 1nF
C3 3 4 1nF
C4 3 1nF
I1 4 0 DC 1mA
V1 6 0 5V
R1 0 2 1k

.OP
.PRINT OP V(1nF) V(2) V(3) V(4) V(6) I(V1)
.END","In the given SPICE netlist, what is the DC voltage at node 4?
A. 0 V
B. 5 V
C. -20 V
D. -10 V",C,"*SPICE Netlist for circuit 790
C1 0 3 1nF
C2 0 2 1nF
C3 3 4 1nF
C4 3 1nF
I1 4 0 DC 1mA
V1 6 0 5V
R1 0 2 1k

.OP
.PRINT OP V(1nF) V(2) V(3) V(4) V(6) I(V1)
.END"
367,"*SPICE Netlist for circuit 367
C1 0 2 1nF
C2 3 2 1nF
M1 2 3 0 0 NMOS W=1u L=1u
V1 3 0 5V
R1 2 VDD 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(2) V(3) V(VDD) I(V1)
.END","In the given SPICE netlist, what is the DC voltage at node 2?
A. 5 V
B. 2.5 V
C. -5 V
D. 0 V",D,"*SPICE Netlist for circuit 367
C1 0 2 1nF
C2 3 2 1nF
M1 2 3 0 0 NMOS W=1u L=1u
V1 3 0 5V
R1 2 VDD 1k
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(2) V(3) V(VDD) I(V1)
.END"
263,"*SPICE Netlist for circuit 263
I1 VDD 2 DC 1mA
M2 3 2 0 0 NMOS W=1u L=1u
M1 2 1 3 3 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(VDD)
.END","In the given SPICE netlist, what is the DC voltage at node 1?
A. 0 V
B. -5 V
C. 2.5 V
D. 5 V",A,"*SPICE Netlist for circuit 263
I1 VDD 2 DC 1mA
M2 3 2 0 0 NMOS W=1u L=1u
M1 2 1 3 3 NMOS W=1u L=1u
.MODEL NMOS NMOS (LEVEL=1 VTO=1 KP=1.0e-4 LAMBDA=0.02)

.OP
.PRINT OP V(1) V(2) V(3) V(VDD)
.END"
